"uid","namedLocation","date","domainID","siteID","plotID","plotType","nlcdClass","decimalLatitude","decimalLongitude","geodeticDatum","coordinateUncertainty","easting","northing","utmZone","elevation","elevationUncertainty","eventID","samplingProtocolVersion","treesPresent","treesAbsentList","shrubsPresent","shrubsAbsentList","lianasPresent","lianasAbsentList","nestedSubplotAreaShrubSapling","nestedSubplotAreaLiana","totalSampledAreaTrees","totalSampledAreaShrubSapling","totalSampledAreaLiana","remarks","measuredBy","recordedBy","dataQF"
"78c93440-35d8-4206-9281-2694fd67c8de","BART_071.basePlot.vst","2015-08-04","D01","BART","BART_071","tower","mixedForest",44.067946,-71.29062,"WGS84",20.2,316559.62,4881970.54,"19N",256.5,0.2,"vst_BART_2015","NEON.DOC.000987vD",NA,NA,NA,NA,NA,NA,"25","noneSelected",800,100,800,"","0uwWHUCkGoRVT9RpJxngFjI8cZrsFWgn","XdV86USKkiYZfb6rmwpnK/f2Yah5qnQO","legacyData"
"24a18a02-3d19-45a1-88c6-ade5cc9f3ed2","BART_039.basePlot.vst","2015-08-04","D01","BART","BART_039","tower","deciduousForest",44.063683,-71.288953,"WGS84",20.2,316679.96,4881493.33,"19N",274.1,0.2,"vst_BART_2015","NEON.DOC.000987vD",NA,NA,NA,NA,NA,NA,"100","noneSelected",800,400,800,"","6HzkzFDdLaNgPi31AaqxNPsuI5nRHqWu","bWvVSKjgptV89BwHA3h10JNaeV+PHmDU","legacyData"
"092bccf6-a916-4b83-8d8c-dc68f9c1ce1a","BART_071.basePlot.vst","2015-08-04","D01","BART","BART_071","tower","mixedForest",44.067946,-71.29062,"WGS84",20.2,316559.62,4881970.54,"19N",256.5,0.2,"vst_BART_2015","NEON.DOC.000987vD",NA,NA,NA,NA,NA,NA,"25","noneSelected",800,100,800,"","jRr6tAEXvh/2EP2nqxILjbvMaL6VMLwf","XdV86USKkiYZfb6rmwpnK/f2Yah5qnQO","legacyData"
"b78eb170-87f7-47fb-9bfb-078244c3a2e9","BART_039.basePlot.vst","2015-08-04","D01","BART","BART_039","tower","deciduousForest",44.063683,-71.288953,"WGS84",20.2,316679.96,4881493.33,"19N",274.1,0.2,"vst_BART_2015","NEON.DOC.000987vD",NA,NA,NA,NA,NA,NA,"100","noneSelected",800,400,800,"","jRr6tAEXvh/2EP2nqxILjbvMaL6VMLwf","bWvVSKjgptV89BwHA3h10JNaeV+PHmDU","legacyData"
"8a4c4b50-00f2-4faf-bec3-71be7f418da0","BART_051.basePlot.vst","2015-08-04","D01","BART","BART_051","tower","deciduousForest",44.062849,-71.287737,"WGS84",20.3,316774.78,4881397.99,"19N",280,0.4,"vst_BART_2015","NEON.DOC.000987vD",NA,NA,NA,NA,NA,NA,"25","noneSelected",800,100,800,"","jRr6tAEXvh/2EP2nqxILjbvMaL6VMLwf","bWvVSKjgptV89BwHA3h10JNaeV+PHmDU","legacyData"
"f58af446-587a-4edd-9284-bcc3e99c95d5","BART_050.basePlot.vst","2015-08-05","D01","BART","BART_050","tower","mixedForest",44.061507,-71.2877,"WGS84",20.2,316773.6,4881248.85,"19N",287.8,0.2,"vst_BART_2015","NEON.DOC.000987vD",NA,NA,NA,NA,NA,NA,"100","noneSelected",800,400,800,"","MRgCvwP2WueoGZahvpQXNZ+be1CYdCGm","XdV86USKkiYZfb6rmwpnK/f2Yah5qnQO","legacyData"
"5a92f58a-082f-46e4-a55c-13090c07be39","BART_032.basePlot.vst","2015-08-05","D01","BART","BART_032","tower","deciduousForest",44.067479,-71.287582,"WGS84",20.2,316801.48,4881911.91,"19N",245.4,0.3,"vst_BART_2015","NEON.DOC.000987vD",NA,NA,NA,NA,NA,NA,"25","noneSelected",800,100,800,"","MRgCvwP2WueoGZahvpQXNZ+be1CYdCGm","bWvVSKjgptV89BwHA3h10JNaeV+PHmDU","legacyData"
"8d5da094-b0d8-4926-9703-66f63eb7b58e","BART_071.basePlot.vst","2015-08-05","D01","BART","BART_071","tower","mixedForest",44.067946,-71.29062,"WGS84",20.2,316559.62,4881970.54,"19N",256.5,0.2,"vst_BART_2015","NEON.DOC.000987vD",NA,NA,NA,NA,NA,NA,"25","noneSelected",800,100,800,"","jRr6tAEXvh/2EP2nqxILjbvMaL6VMLwf","XdV86USKkiYZfb6rmwpnK/f2Yah5qnQO","legacyData"
"510885be-71d5-4783-9592-51f69e045489","BART_071.basePlot.vst","2015-08-05","D01","BART","BART_071","tower","mixedForest",44.067946,-71.29062,"WGS84",20.2,316559.62,4881970.54,"19N",256.5,0.2,"vst_BART_2015","NEON.DOC.000987vD",NA,NA,NA,NA,NA,NA,"25","noneSelected",800,100,800,"","0uwWHUCkGoRVT9RpJxngFjI8cZrsFWgn","XdV86USKkiYZfb6rmwpnK/f2Yah5qnQO","legacyData"
"7c199d3b-04af-4991-bd30-e9bded1d396a","BART_042.basePlot.vst","2015-08-06","D01","BART","BART_042","tower","deciduousForest",44.060186,-71.288047,"WGS84",20.2,316741.73,4881102.89,"19N",288.8,0.2,"vst_BART_2015","NEON.DOC.000987vD",NA,NA,NA,NA,NA,NA,"100","noneSelected",800,400,800,"","6HzkzFDdLaNgPi31AaqxNPsuI5nRHqWu","wmtulGhdefWiPr5g1VRF0YnRBawgSBx1","legacyData"
"dffc1e31-9dc2-4480-9eb6-1b0931b8ba04","BART_032.basePlot.vst","2015-08-10","D01","BART","BART_032","tower","deciduousForest",44.067479,-71.287582,"WGS84",20.2,316801.48,4881911.91,"19N",245.4,0.3,"vst_BART_2015","NEON.DOC.000987vD",NA,NA,NA,NA,NA,NA,"noneSelected","noneSelected",800,800,800,"","6HzkzFDdLaNgPi31AaqxNPsuI5nRHqWu","jRr6tAEXvh/2EP2nqxILjbvMaL6VMLwf","legacyData"
"73e81ee0-ab00-46e3-802b-e66550aebf1b","BART_071.basePlot.vst","2015-08-10","D01","BART","BART_071","tower","mixedForest",44.067946,-71.29062,"WGS84",20.2,316559.62,4881970.54,"19N",256.5,0.2,"vst_BART_2015","NEON.DOC.000987vD",NA,NA,NA,NA,NA,NA,"100","noneSelected",800,400,800,"","jRr6tAEXvh/2EP2nqxILjbvMaL6VMLwf","XdV86USKkiYZfb6rmwpnK/f2Yah5qnQO","legacyData"
"a0272c3e-db0a-4524-95ff-7a57cc8aa48c","BART_040.basePlot.vst","2015-08-10","D01","BART","BART_040","tower","deciduousForest",44.065761,-71.291993,"WGS84",20.2,316442.91,4881730.91,"19N",260.5,0.3,"vst_BART_2015","NEON.DOC.000987vD",NA,NA,NA,NA,NA,NA,"noneSelected","noneSelected",800,800,800,"","0uwWHUCkGoRVT9RpJxngFjI8cZrsFWgn","XdV86USKkiYZfb6rmwpnK/f2Yah5qnQO","legacyData"
"aa3cabbb-c14f-413a-94de-02d7869bf738","BART_071.basePlot.vst","2015-08-10","D01","BART","BART_071","tower","mixedForest",44.067946,-71.29062,"WGS84",20.2,316559.62,4881970.54,"19N",256.5,0.2,"vst_BART_2015","NEON.DOC.000987vD",NA,NA,NA,NA,NA,NA,"noneSelected","noneSelected",800,800,800,"","jRr6tAEXvh/2EP2nqxILjbvMaL6VMLwf","XdV86USKkiYZfb6rmwpnK/f2Yah5qnQO","legacyData"
"db57b810-2a9e-4636-b1ef-5e1fdea7dbcd","BART_047.basePlot.vst","2015-08-11","D01","BART","BART_047","tower","deciduousForest",44.064958,-71.290866,"WGS84",20.2,316530.69,4881639.21,"19N",266.9,0.3,"vst_BART_2015","NEON.DOC.000987vD",NA,NA,NA,NA,NA,NA,"noneSelected","noneSelected",800,800,800,"","jRr6tAEXvh/2EP2nqxILjbvMaL6VMLwf","XdV86USKkiYZfb6rmwpnK/f2Yah5qnQO","legacyData"
"ef1fc028-079b-4739-bb37-6681cbbc6673","BART_075.basePlot.vst","2015-08-11","D01","BART","BART_075","tower","mixedForest",44.059135,-71.286503,"WGS84",20.2,316862.16,4880982.72,"19N",297.1,0.3,"vst_BART_2015","NEON.DOC.000987vD",NA,NA,NA,NA,NA,NA,"noneSelected","noneSelected",800,800,800,"No ferns","jRr6tAEXvh/2EP2nqxILjbvMaL6VMLwf","XdV86USKkiYZfb6rmwpnK/f2Yah5qnQO","legacyData"
"126898f5-135f-422f-870d-897cd2573c2a","BART_042.basePlot.vst","2015-08-11","D01","BART","BART_042","tower","deciduousForest",44.060186,-71.288047,"WGS84",20.2,316741.73,4881102.89,"19N",288.8,0.2,"vst_BART_2015","NEON.DOC.000987vD",NA,NA,NA,NA,NA,NA,"noneSelected","noneSelected",800,800,800,"","jRr6tAEXvh/2EP2nqxILjbvMaL6VMLwf","XdV86USKkiYZfb6rmwpnK/f2Yah5qnQO","legacyData"
"698d342b-a701-4c3a-b70e-cee05cfd8ed6","BART_073.basePlot.vst","2015-08-11","D01","BART","BART_073","tower","mixedForest",44.06477,-71.28861,"WGS84",20.2,316710.79,4881613.3,"19N",280.7,0.3,"vst_BART_2015","NEON.DOC.000987vD",NA,NA,NA,NA,NA,NA,"noneSelected","noneSelected",800,800,800,"","jRr6tAEXvh/2EP2nqxILjbvMaL6VMLwf","0BaChJNzD1Pxkb0KnkmK1zh8NvLNU8MM","legacyData"
"adee918d-614e-4fe5-8e55-2888e0b44d13","BART_039.basePlot.vst","2015-08-11","D01","BART","BART_039","tower","deciduousForest",44.063683,-71.288953,"WGS84",20.2,316679.96,4881493.33,"19N",274.1,0.2,"vst_BART_2015","NEON.DOC.000987vD",NA,NA,NA,NA,NA,NA,"noneSelected","noneSelected",800,800,800,"","0uwWHUCkGoRVT9RpJxngFjI8cZrsFWgn","afMynumrDJcbQNK5ece65stvlBUGBI24","legacyData"
"16e8f3f5-c64f-4a8a-b1bc-48d9f411c8e7","BART_040.basePlot.vst","2015-08-11","D01","BART","BART_040","tower","deciduousForest",44.065761,-71.291993,"WGS84",20.2,316442.91,4881730.91,"19N",260.5,0.3,"vst_BART_2015","NEON.DOC.000987vD",NA,NA,NA,NA,NA,NA,"noneSelected","noneSelected",800,800,800,"","0uwWHUCkGoRVT9RpJxngFjI8cZrsFWgn","XdV86USKkiYZfb6rmwpnK/f2Yah5qnQO","legacyData"
"8f34a8c4-24cb-49da-8790-220f3f610c8d","BART_075.basePlot.vst","2015-08-11","D01","BART","BART_075","tower","mixedForest",44.059135,-71.286503,"WGS84",20.2,316862.16,4880982.72,"19N",297.1,0.3,"vst_BART_2015","NEON.DOC.000987vD",NA,NA,NA,NA,NA,NA,"noneSelected","noneSelected",800,800,800,"","jRr6tAEXvh/2EP2nqxILjbvMaL6VMLwf","XdV86USKkiYZfb6rmwpnK/f2Yah5qnQO","legacyData"
"73327a64-0f43-4c50-b77b-e915a8fcd390","BART_075.basePlot.vst","2015-08-12","D01","BART","BART_075","tower","mixedForest",44.059135,-71.286503,"WGS84",20.2,316862.16,4880982.72,"19N",297.1,0.3,"vst_BART_2015","NEON.DOC.000987vD",NA,NA,NA,NA,NA,NA,"100","noneSelected",800,400,800,"","0uwWHUCkGoRVT9RpJxngFjI8cZrsFWgn","afMynumrDJcbQNK5ece65stvlBUGBI24","legacyData"
"96109424-960c-4e9b-8cb5-cdcd2291e06b","BART_070.basePlot.vst","2015-08-12","D01","BART","BART_070","tower","mixedForest",44.064339,-71.281445,"WGS84",20.2,317283.3,4881549.5,"19N",249.8,0.2,"vst_BART_2015","NEON.DOC.000987vD",NA,NA,NA,NA,NA,NA,"noneSelected","noneSelected",800,800,800,"No ferns found in nested 1, subplot 41","jRr6tAEXvh/2EP2nqxILjbvMaL6VMLwf","wmtulGhdefWiPr5g1VRF0YnRBawgSBx1","legacyData"
"998c4b82-9ba4-4b75-b2ff-d278643b6425","BART_050.basePlot.vst","2015-08-12","D01","BART","BART_050","tower","mixedForest",44.061507,-71.2877,"WGS84",20.2,316773.6,4881248.85,"19N",287.8,0.2,"vst_BART_2015","NEON.DOC.000987vD",NA,NA,NA,NA,NA,NA,"noneSelected","noneSelected",800,800,800,"NO FERNS","0uwWHUCkGoRVT9RpJxngFjI8cZrsFWgn","wmtulGhdefWiPr5g1VRF0YnRBawgSBx1","legacyData"
"3aad8afe-c90c-4e3f-a2cf-d6842e929a54","BART_050.basePlot.vst","2015-08-12","D01","BART","BART_050","tower","mixedForest",44.061507,-71.2877,"WGS84",20.2,316773.6,4881248.85,"19N",287.8,0.2,"vst_BART_2015","NEON.DOC.000987vD",NA,NA,NA,NA,NA,NA,"noneSelected","noneSelected",800,800,800,"","0uwWHUCkGoRVT9RpJxngFjI8cZrsFWgn","wmtulGhdefWiPr5g1VRF0YnRBawgSBx1","legacyData"
"c1a6d8b5-935b-4862-94c2-a1a8d20d429f","BART_070.basePlot.vst","2015-08-12","D01","BART","BART_070","tower","mixedForest",44.064339,-71.281445,"WGS84",20.2,317283.3,4881549.5,"19N",249.8,0.2,"vst_BART_2015","NEON.DOC.000987vD",NA,NA,NA,NA,NA,NA,"noneSelected","noneSelected",800,800,800,"No ferns found in nested 1, subplot 39","jRr6tAEXvh/2EP2nqxILjbvMaL6VMLwf","wmtulGhdefWiPr5g1VRF0YnRBawgSBx1","legacyData"
"16461f34-02e0-4166-8f58-15295c1e2393","BART_033.basePlot.vst","2015-08-12","D01","BART","BART_033","tower","deciduousForest",44.063204,-71.283666,"WGS84",20.2,317101.93,4881428.37,"19N",273.5,0.2,"vst_BART_2015","NEON.DOC.000987vD",NA,NA,NA,NA,NA,NA,"noneSelected","noneSelected",800,800,800,"","0uwWHUCkGoRVT9RpJxngFjI8cZrsFWgn","wmtulGhdefWiPr5g1VRF0YnRBawgSBx1","legacyData"
"2138e764-20f2-4920-887b-e0bf6e62940d","BART_046.basePlot.vst","2015-08-13","D01","BART","BART_046","tower","deciduousForest",44.059946,-71.28541,"WGS84",20.2,316952.2,4881070.37,"19N",304.7,0.3,"vst_BART_2015","NEON.DOC.000987vD",NA,NA,NA,NA,NA,NA,"100","noneSelected",800,400,800,"","jRr6tAEXvh/2EP2nqxILjbvMaL6VMLwf","XdV86USKkiYZfb6rmwpnK/f2Yah5qnQO","legacyData"
"90814f73-227b-434d-8a9b-14c6b74f7269","BART_001.basePlot.vst","2015-08-17","D01","BART","BART_001","distributed","mixedForest",44.047077,-71.306658,"WGS84",20.2,315210.3,4879688.44,"19N",468.8,0.3,"vst_BART_2015","NEON.DOC.000987vD",NA,NA,NA,NA,NA,NA,"10","noneSelected",400,80,400,"","jRr6tAEXvh/2EP2nqxILjbvMaL6VMLwf","xYAz/hoNa4beHeF8Co82eF9aIjZ5mOeG","legacyData"
"aed93994-a715-478c-9ee5-aff6ab1200cc","BART_072.basePlot.vst","2015-08-24","D01","BART","BART_072","tower","deciduousForest",44.060736,-71.286195,"WGS84",20.2,316891.76,4881159.86,"19N",296.6,0.3,"vst_BART_2015","NEON.DOC.000987vD",NA,NA,NA,NA,NA,NA,"10","noneSelected",800,40,800,"","0uwWHUCkGoRVT9RpJxngFjI8cZrsFWgn","jRr6tAEXvh/2EP2nqxILjbvMaL6VMLwf","legacyData"
"25bd11ab-d8d1-4d09-9fcf-4f4861cda843","BART_044.basePlot.vst","2015-08-24","D01","BART","BART_044","tower","deciduousForest",44.061037,-71.284327,"WGS84",20.2,317042.31,4881189.14,"19N",302.9,0.3,"vst_BART_2015","NEON.DOC.000987vD",NA,NA,NA,NA,NA,NA,"100","noneSelected",800,400,800,"","0uwWHUCkGoRVT9RpJxngFjI8cZrsFWgn","jRr6tAEXvh/2EP2nqxILjbvMaL6VMLwf","legacyData"
"53460395-b504-4f4d-bd77-a80562bef027","BART_074.basePlot.vst","2015-08-25","D01","BART","BART_074","tower","mixedForest",44.060251,-71.283201,"WGS84",20.2,317130.07,4881099.34,"19N",310.8,0.2,"vst_BART_2015","NEON.DOC.000987vD",NA,NA,NA,NA,NA,NA,"25","noneSelected",800,100,800,"","FXeeUI9aIn8X0VAR1BEIFKA+Tv3GsCYT","jRr6tAEXvh/2EP2nqxILjbvMaL6VMLwf","legacyData"
"a1b03bc9-be78-4eab-8655-de72f8a28f81","BART_037.basePlot.vst","2015-08-25","D01","BART","BART_037","tower","deciduousForest",44.061597,-71.283251,"WGS84",20.2,317130.21,4881248.95,"19N",292.5,0.2,"vst_BART_2015","NEON.DOC.000987vD",NA,NA,NA,NA,NA,NA,"100","noneSelected",800,400,800,"","jRr6tAEXvh/2EP2nqxILjbvMaL6VMLwf","wmtulGhdefWiPr5g1VRF0YnRBawgSBx1","legacyData"
"02c911cd-5a3c-458c-87a4-be9aef3a1e3a","BART_037.basePlot.vst","2015-08-26","D01","BART","BART_037","tower","deciduousForest",44.061597,-71.283251,"WGS84",20.2,317130.21,4881248.95,"19N",292.5,0.2,"vst_BART_2015","NEON.DOC.000987vD",NA,NA,NA,NA,NA,NA,"100","noneSelected",800,400,800,"","jRr6tAEXvh/2EP2nqxILjbvMaL6VMLwf","XdV86USKkiYZfb6rmwpnK/f2Yah5qnQO","legacyData"
"4fd33ba2-6f64-43f8-901a-799fcd6efa98","BART_044.basePlot.vst","2015-08-26","D01","BART","BART_044","tower","deciduousForest",44.061037,-71.284327,"WGS84",20.2,317042.31,4881189.14,"19N",302.9,0.3,"vst_BART_2015","NEON.DOC.000987vD",NA,NA,NA,NA,NA,NA,"100","noneSelected",800,400,800,"","zODC+zTh3jdHKFo7lDoQcuNYRkWsGu3I","jRr6tAEXvh/2EP2nqxILjbvMaL6VMLwf","legacyData"
"1608ce88-1013-42aa-af45-fc81c0f8f335","BART_036.basePlot.vst","2015-08-26","D01","BART","BART_036","tower","deciduousForest",44.06208,-71.285876,"WGS84",20.2,316921.46,4881308.43,"19N",293.2,0.3,"vst_BART_2015","NEON.DOC.000987vD",NA,NA,NA,NA,NA,NA,"25","noneSelected",800,100,800,"","jRr6tAEXvh/2EP2nqxILjbvMaL6VMLwf","xYAz/hoNa4beHeF8Co82eF9aIjZ5mOeG","legacyData"
"fc62f03b-e671-41a3-bfda-efa4b68948b1","BART_044.basePlot.vst","2015-08-26","D01","BART","BART_044","tower","deciduousForest",44.061037,-71.284327,"WGS84",20.2,317042.31,4881189.14,"19N",302.9,0.3,"vst_BART_2015","NEON.DOC.000987vD",NA,NA,NA,NA,NA,NA,"100","noneSelected",800,400,800,"","jRr6tAEXvh/2EP2nqxILjbvMaL6VMLwf","jRr6tAEXvh/2EP2nqxILjbvMaL6VMLwf","legacyData"
"bbc84169-52f3-41b8-b253-917c8598533e","BART_040.basePlot.vst","2015-08-27","D01","BART","BART_040","tower","deciduousForest",44.065761,-71.291993,"WGS84",20.2,316442.91,4881730.91,"19N",260.5,0.3,"vst_BART_2015","NEON.DOC.000987vD",NA,NA,NA,NA,NA,NA,"25","noneSelected",800,100,800,"","FXeeUI9aIn8X0VAR1BEIFKA+Tv3GsCYT","jRr6tAEXvh/2EP2nqxILjbvMaL6VMLwf","legacyData"
"e9569b04-4b04-4974-9118-1adbf16d9e80","BART_073.basePlot.vst","2015-08-27","D01","BART","BART_073","tower","mixedForest",44.06477,-71.28861,"WGS84",20.2,316710.79,4881613.3,"19N",280.7,0.3,"vst_BART_2015","NEON.DOC.000987vD",NA,NA,NA,NA,NA,NA,"25","noneSelected",800,100,800,"","jRr6tAEXvh/2EP2nqxILjbvMaL6VMLwf","xYAz/hoNa4aLDDbd1lMaudiMyWP7bnkv","legacyData"
"065e1eb3-0b41-47bb-9714-1643a3de5bb3","BART_074.basePlot.vst","2015-08-27","D01","BART","BART_074","tower","mixedForest",44.060251,-71.283201,"WGS84",20.2,317130.07,4881099.34,"19N",310.8,0.2,"vst_BART_2015","NEON.DOC.000987vD",NA,NA,NA,NA,NA,NA,"25","noneSelected",800,100,800,"","r9jkxkSAsXfD4tQJTn5vppjyarm6cJjo","jRr6tAEXvh/2EP2nqxILjbvMaL6VMLwf","legacyData"
